data;id_venda;filial;vendedor;produto;cliente_nome;cliente_genero;forma_pagamento
2023-10-07 07:53:17.988294;0;Diadema;Fernanda Ribeiro;Notebook i5 8GB SSD 512GB;Gary Marcus;masculino;dinheiro
2023-10-07 08:34:01.405018;1;Osasco;Lucas Lima;Smartphone 5G 128GB;Diana Slater;feminino;pix
2023-10-07 09:25:12.644142;2;Osasco;Lucas Lima;Caixa de Som Bluetooth;Christy Oktavec;feminino;credito
2023-10-07 10:33:57.915433;3;São Bernardo do Campo;Carla Pereira;"Smart TV 50"" 4K";James Rosas;masculino;credito
2023-10-07 11:02:45.358472;4;Santo André;Bruno Rocha;Notebook i5 8GB SSD 512GB;Robert Thomas;masculino;credito
2023-10-07 14:34:46.912286;5;Guarulhos;Pedro Santos;Caixa de Som Bluetooth;Victor Olvera;masculino;credito
2023-10-07 15:44:07.145071;6;Diadema;Fernanda Ribeiro;Notebook i5 8GB SSD 512GB;Shawn Manly;masculino;credito
2023-10-07 16:46:46.262340;7;Guarulhos;Pedro Santos;Smartphone 5G 128GB;Stewart Martin;masculino;pix
2023-10-07 17:17:06.733545;8;Guarulhos;Ana Oliveira;Caixa de Som Bluetooth;Carlos Wells;masculino;credito
2023-10-08 08:00:10.233316;9;Guarulhos;Pedro Santos;Smartphone 5G 128GB;Carolyn Latsha;feminino;boleto
2023-10-08 08:26:46.098953;10;Santo André;Bruno Rocha;Caixa de Som Bluetooth;Lisa Noble;feminino;credito
2023-10-08 11:23:06.568365;11;São Bernardo do Campo;Marcos Fernandes;Smartphone 5G 128GB;Annie Koepp;feminino;dinheiro
2023-10-08 11:26:00.130469;12;Osasco;Juliana Costa;Smartphone 5G 128GB;Virginia Smith;feminino;credito
2023-10-08 11:26:46.559888;13;São Paulo;Maria Souza;Caixa de Som Bluetooth;Lois Murff;feminino;debito
2023-10-08 13:21:57.488883;14;São Paulo;João Silva;"Smart TV 50"" 4K";Roberto Rubio;masculino;credito
2023-10-08 13:24:10.089746;15;Guarulhos;Ana Oliveira;Notebook i5 8GB SSD 512GB;Charlie Adams;masculino;credito
2023-10-08 13:45:09.802502;16;Diadema;Rafael Alves;Smartphone 5G 128GB;Frank Briggs;masculino;credito
2023-10-08 15:12:50.845152;17;Diadema;Fernanda Ribeiro;Smartphone 5G 128GB;Gertrude Loughlin;feminino;credito
2023-10-09 06:57:06.734697;18;São Paulo;Maria Souza;"Smart TV 50"" 4K";Henrietta Ferguson;feminino;credito
2023-10-09 07:07:09.562908;19;São Paulo;Maria Souza;Notebook i5 8GB SSD 512GB;Joseph Greene;masculino;boleto
2023-10-09 12:04:49.149672;20;Guarulhos;Pedro Santos;Notebook i5 8GB SSD 512GB;John Dretzka;masculino;credito
2023-10-09 12:58:15.820923;21;Guarulhos;Pedro Santos;Notebook i5 8GB SSD 512GB;Carol Lamy;feminino;credito
2023-10-09 14:38:59.069007;22;São Paulo;Maria Souza;Notebook i5 8GB SSD 512GB;Linda Ives;feminino;credito
2023-10-09 16:09:00.841699;23;Osasco;Lucas Lima;"Smart TV 50"" 4K";Jason Ethington;masculino;boleto
2023-10-10 10:18:08.407333;24;Santo André;Bruno Rocha;"Smart TV 50"" 4K";Rafael Fields;masculino;credito
2023-10-10 10:29:12.901280;25;Guarulhos;Ana Oliveira;"Smart TV 50"" 4K";Laurie Chapman;feminino;credito
2023-10-10 10:31:21.816152;26;Osasco;Juliana Costa;"Smart TV 50"" 4K";Christina Mccarville;feminino;credito
2023-10-10 11:13:48.732930;27;Santo André;Bruno Rocha;Smartphone 5G 128GB;Kevin Eiland;masculino;credito
2023-10-10 13:21:06.775238;28;São Paulo;Maria Souza;Caixa de Som Bluetooth;Courtney Sipper;feminino;credito
2023-10-10 13:28:07.244115;29;Diadema;Fernanda Ribeiro;Smartphone 5G 128GB;Agustin Long;masculino;pix
2023-10-10 13:44:16.017231;30;Santo André;Patrícia Gomes;Notebook i5 8GB SSD 512GB;Christopher Maley;masculino;credito
2023-10-10 14:22:01.099517;31;Santo André;Patrícia Gomes;Caixa de Som Bluetooth;Robert Clark;masculino;credito
2023-10-10 15:26:59.675641;32;São Paulo;Maria Souza;Notebook i5 8GB SSD 512GB;Alan Hacker;masculino;dinheiro
2023-10-10 15:27:56.776344;33;Santo André;Bruno Rocha;"Smart TV 50"" 4K";Kimberly Gravley;feminino;credito
2023-10-10 15:50:45.484046;34;Diadema;Rafael Alves;"Smart TV 50"" 4K";Brain Lowe;masculino;debito
2023-10-10 16:49:08.003595;35;São Paulo;João Silva;Notebook i5 8GB SSD 512GB;Gerardo Walker;masculino;pix
2023-10-11 08:37:14.317861;36;Diadema;Rafael Alves;"Smart TV 50"" 4K";Darryl Ward;masculino;credito
2023-10-11 11:42:53.817743;37;São Bernardo do Campo;Marcos Fernandes;Smartphone 5G 128GB;Cynthia Red;feminino;dinheiro
2023-10-11 12:14:45.448910;38;Santo André;Patrícia Gomes;"Smart TV 50"" 4K";William Eichmann;masculino;credito
2023-10-11 17:31:20.230469;39;São Paulo;João Silva;Caixa de Som Bluetooth;Maurice Golson;masculino;credito
2023-10-12 07:42:55.658602;40;Guarulhos;Ana Oliveira;Caixa de Som Bluetooth;David Holden;masculino;credito
2023-10-12 08:07:14.937071;41;Santo André;Patrícia Gomes;Smartphone 5G 128GB;Richard Myers;masculino;credito
2023-10-12 09:31:08.977172;42;Santo André;Patrícia Gomes;"Smart TV 50"" 4K";Rigoberto Williams;masculino;credito
2023-10-12 12:37:09.517601;43;São Bernardo do Campo;Marcos Fernandes;Smartphone 5G 128GB;Michael Thorpe;masculino;credito
2023-10-12 14:43:47.833333;44;São Bernardo do Campo;Carla Pereira;Smartphone 5G 128GB;David Coffman;masculino;credito
2023-10-12 16:38:00.441604;45;Santo André;Bruno Rocha;Notebook i5 8GB SSD 512GB;Christopher Carr;masculino;credito
2023-10-13 06:38:02.704100;46;Osasco;Lucas Lima;Smartphone 5G 128GB;Crystal Bennett;feminino;credito
2023-10-13 09:32:20.750259;47;São Paulo;Maria Souza;Caixa de Som Bluetooth;Richard Challender;masculino;credito
2023-10-13 10:11:52.413958;48;Diadema;Fernanda Ribeiro;Smartphone 5G 128GB;Jane Walton;feminino;credito
2023-10-13 10:48:59.111509;49;Diadema;Rafael Alves;Caixa de Som Bluetooth;Patricia Williams;feminino;credito
2023-10-13 13:28:55.849763;50;Osasco;Juliana Costa;Notebook i5 8GB SSD 512GB;Michael Broker;masculino;credito
2023-10-13 16:08:52.622561;51;São Paulo;João Silva;"Smart TV 50"" 4K";Evelyn Wright;feminino;credito
2023-10-13 16:21:12.313430;52;Diadema;Fernanda Ribeiro;Smartphone 5G 128GB;Jim Kennard;masculino;credito
2023-10-13 16:26:57.912571;53;São Bernardo do Campo;Carla Pereira;Caixa de Som Bluetooth;Jared Kelley;masculino;dinheiro
2023-10-13 16:59:52.776642;54;Santo André;Patrícia Gomes;"Smart TV 50"" 4K";Concepcion Fredericks;feminino;pix
2023-10-13 17:16:54.342868;55;Diadema;Fernanda Ribeiro;Smartphone 5G 128GB;Ronnie Macnaught;masculino;credito
2023-10-13 17:35:55.876154;56;Osasco;Lucas Lima;Notebook i5 8GB SSD 512GB;Samuel Pifer;masculino;credito
